municipality_code,used_apartment_median_price_man_yen,used_apartment_sample_size,used_apartment_median_unit_price_yen,used_apartment_avg_building_age,emergency_shelter_count,emergency_shelter_official_link,population_2025_estimated,population_2050_estimated,population_change_2025_2050_pct,medical_facility_count,medical_hospital_count,medical_clinic_count,childcare_facility_count,kindergarten_count,nursery_count,reinfolib_loaded_at,reinfolib_source_url
08000,2400,518,314285,20.4,498,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.2145,140.2641&z=12",1066013,881454,-17.31,157,12,80,,,,2026-05-28T16:27:57.483026+00:00,https://www.reinfolib.mlit.go.jp/
08201,2000,72,268627,19.7,554,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3705,140.4356&z=12",948122,746510,-21.26,611,32,335,106,25,81,2026-05-28T16:29:38.132120+00:00,https://www.reinfolib.mlit.go.jp/
08202,2050,2,265833,18,550,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.6248,140.6187&z=12",410654,265554,-35.33,190,12,103,39,9,30,2026-05-28T16:31:02.133051+00:00,https://www.reinfolib.mlit.go.jp/
08203,1600,48,212500,23.8,676,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.0983,140.1948&z=12",1367744,1175057,-14.09,513,19,287,43,11,32,2026-05-28T16:32:49.317272+00:00,https://www.reinfolib.mlit.go.jp/
08204,1500,23,214285,28.1,1054,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1798,139.7753&z=12",1579004,1263823,-19.96,304,15,152,53,7,46,2026-05-28T16:34:47.081541+00:00,https://www.reinfolib.mlit.go.jp/
08205,,0,,,498,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.2278,140.2178&z=12",1066013,881454,-17.31,153,10,78,24,5,19,2026-05-28T16:36:32.105285+00:00,https://www.reinfolib.mlit.go.jp/
08207,450,1,75000,32,1054,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.2613,139.864&z=12",1579004,1263823,-19.96,388,16,214,17,3,14,2026-05-28T16:38:30.866734+00:00,https://www.reinfolib.mlit.go.jp/
08208,825,14,114615,29.7,943,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.9225,140.1853&z=12",2581959,2397110,-7.16,365,14,184,26,4,22,2026-05-28T16:40:26.489733+00:00,https://www.reinfolib.mlit.go.jp/
08210,,0,,,784,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1874,139.9664&z=12",1275603,1058166,-17.05,194,11,95,15,5,10,2026-05-28T16:42:18.505157+00:00,https://www.reinfolib.mlit.go.jp/
08211,,0,,,1184,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.0641,139.964&z=12",2183527,1902131,-12.89,213,10,101,24,3,21,2026-05-28T16:44:11.840927+00:00,https://www.reinfolib.mlit.go.jp/
08212,,0,,,550,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.6484,140.5054&z=12",410654,265554,-35.33,15,0,12,4,0,4,2026-05-28T16:45:35.134247+00:00,https://www.reinfolib.mlit.go.jp/
08214,410,1,74545,31,413,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.7692,140.6209&z=12",213627,132590,-37.93,27,4,14,3,1,2,2026-05-28T16:46:53.526498+00:00,https://www.reinfolib.mlit.go.jp/
08215,,0,,,320,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.8399,140.6874&z=12",311735,217051,-30.37,64,6,33,11,4,7,2026-05-28T16:48:10.452120+00:00,https://www.reinfolib.mlit.go.jp/
08216,,0,,,554,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3565,140.2694&z=12",800202,615969,-23.02,94,6,48,17,5,12,2026-05-28T16:49:53.614819+00:00,https://www.reinfolib.mlit.go.jp/
08217,750,91,125454,34.2,1606,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.9129,140.0801&z=12",5365472,5114945,-4.67,842,33,423,32,6,26,2026-05-28T16:51:58.370657+00:00,https://www.reinfolib.mlit.go.jp/
08219,2200,40,318253,15.4,943,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.9718,140.1857&z=12",2581959,2397110,-7.16,431,17,226,24,5,19,2026-05-28T16:53:47.997309+00:00,https://www.reinfolib.mlit.go.jp/
08220,3800,131,437500,13.5,1184,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1053,140.0817&z=12",2183527,1902131,-12.89,401,13,225,101,20,81,2026-05-28T16:55:47.567492+00:00,https://www.reinfolib.mlit.go.jp/
08221,1600,7,168421,34.2,495,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3961,140.5585&z=12",902265,719253,-20.28,509,27,273,35,10,25,2026-05-28T16:57:28.179484+00:00,https://www.reinfolib.mlit.go.jp/
08222,,0,,,459,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.9993,140.6218&z=12",574765,442657,-22.98,110,4,58,27,4,23,2026-05-28T16:59:01.060154+00:00,https://www.reinfolib.mlit.go.jp/
08223,280,1,50909,,459,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.9619,140.5613&z=12",574765,442657,-22.98,184,7,97,14,0,14,2026-05-28T17:00:35.435776+00:00,https://www.reinfolib.mlit.go.jp/
08224,4000,47,500000,11.1,1606,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.948,139.9754&z=12",5365472,5114945,-4.67,915,44,468,26,6,20,2026-05-28T17:02:39.878933+00:00,https://www.reinfolib.mlit.go.jp/
08225,,0,,,538,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.6137,140.3399&z=12",285574,179815,-37.03,42,2,26,17,1,16,2026-05-28T17:04:05.350612+00:00,https://www.reinfolib.mlit.go.jp/
08226,,0,,,600,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.4684,140.476&z=12",867181,682350,-21.31,383,24,203,16,3,13,2026-05-28T17:05:35.750147+00:00,https://www.reinfolib.mlit.go.jp/
08227,550,1,183333,,784,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.2894,139.9869&z=12",1275603,1058166,-17.05,203,9,110,38,3,35,2026-05-28T17:07:22.790742+00:00,https://www.reinfolib.mlit.go.jp/
08228,,0,,,1608,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.0638,139.8879&z=12",3250524,2868328,-11.76,248,13,111,12,1,11,2026-05-28T17:09:28.996203+00:00,https://www.reinfolib.mlit.go.jp/
08229,,0,,,633,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.9486,140.372&z=12",1135163,949562,-16.35,84,3,42,8,2,6,2026-05-28T17:11:12.080024+00:00,https://www.reinfolib.mlit.go.jp/
08230,820,2,113571,26,524,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1099,140.2993&z=12",926850,737485,-20.43,294,15,153,11,1,10,2026-05-28T17:12:52.772666+00:00,https://www.reinfolib.mlit.go.jp/
08231,,0,,,554,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3275,140.1079&z=12",800202,615969,-23.02,90,7,44,11,0,11,2026-05-28T17:14:34.822027+00:00,https://www.reinfolib.mlit.go.jp/
08232,,0,,,421,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.8498,140.7124&z=12",466837,337752,-27.65,119,7,57,29,4,25,2026-05-28T17:16:01.272889+00:00,https://www.reinfolib.mlit.go.jp/
08233,,0,,,328,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.0661,140.4682&z=12",418645,303996,-27.39,39,1,24,12,3,9,2026-05-28T17:17:46.769809+00:00,https://www.reinfolib.mlit.go.jp/
08234,,0,,,363,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1736,140.5197&z=12",,,,,,,,,,2026-05-28T23:03:29.380279+00:00,https://www.reinfolib.mlit.go.jp/
08235,2900,35,414285,12.4,1606,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.982,140.0381&z=12",,,,,,,,,,2026-05-28T23:05:35.028295+00:00,https://www.reinfolib.mlit.go.jp/
08310,,0,,,593,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.4797,140.3095&z=12",802686,635477,-20.83,61,5,33,5,0,5,2026-05-28T23:09:02.226157+00:00,https://www.reinfolib.mlit.go.jp/
08341,,0,,,600,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.4607,140.5807&z=12",867181,682350,-21.31,362,24,190,16,5,11,2026-05-28T23:13:17.691264+00:00,https://www.reinfolib.mlit.go.jp/
08364,,0,,,384,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.798,140.3456&z=12",98229,54288,-44.73,20,3,8,6,1,5,2026-05-28T23:15:22.151610+00:00,https://www.reinfolib.mlit.go.jp/
08442,,0,,,633,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.0184,140.3322&z=12",1135163,949562,-16.35,57,4,29,3,1,2,2026-05-28T23:20:15.027260+00:00,https://www.reinfolib.mlit.go.jp/
08443,1200,2,194805,30,943,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.0141,140.2255&z=12",2581959,2397110,-7.16,565,22,308,14,2,12,2026-05-28T23:23:11.990825+00:00,https://www.reinfolib.mlit.go.jp/
08447,,0,,,825,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.8827,140.2798&z=12",1726139,1451642,-15.9,132,7,68,2,0,2,2026-05-28T23:26:23.661821+00:00,https://www.reinfolib.mlit.go.jp/
08521,,0,,,1054,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1784,139.8937&z=12",1579004,1263823,-19.96,177,8,85,10,3,7,2026-05-28T23:29:12.540680+00:00,https://www.reinfolib.mlit.go.jp/
08542,,0,,,1608,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.108,139.7486&z=12",3250524,2868328,-11.76,486,22,235,3,0,3,2026-05-28T23:34:16.879471+00:00,https://www.reinfolib.mlit.go.jp/
08546,,0,,,1608,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.1102,139.8108&z=12",3250524,2868328,-11.76,352,19,167,12,2,10,2026-05-28T23:37:18.657314+00:00,https://www.reinfolib.mlit.go.jp/
08564,,0,,,1456,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=35.8661,140.1679&z=12",4519198,4223071,-6.55,361,14,191,6,2,4,2026-05-28T23:40:10.702308+00:00,https://www.reinfolib.mlit.go.jp/
09000,1800,367,257142,22.1,725,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.5919,139.9007&z=12",1283312,1059666,-17.43,775,32,434,,,,2026-05-28T23:43:07.327568+00:00,https://www.reinfolib.mlit.go.jp/
09201,2100,270,291608,21.1,725,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.5969,139.8866&z=12",1283312,1059666,-17.43,775,32,434,123,22,101,2026-05-28T23:45:35.963231+00:00,https://www.reinfolib.mlit.go.jp/
09202,575,14,92777,29.7,991,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3593,139.453&z=12",1336778,1050200,-21.44,390,20,218,36,5,31,2026-05-28T23:47:49.433175+00:00,https://www.reinfolib.mlit.go.jp/
09203,2600,4,334166,13,872,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.3729,139.6895&z=12",1607166,1309543,-18.52,344,10,208,32,5,27,2026-05-28T23:50:24.037055+00:00,https://www.reinfolib.mlit.go.jp/
09204,755,2,125833,27,991,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.4239,139.5355&z=12",1336778,1050200,-21.44,49,2,30,6,1,5,2026-05-28T23:52:47.011329+00:00,https://www.reinfolib.mlit.go.jp/
09205,2200,3,266666,17,558,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.5755,139.6415&z=12",1068020,869914,-18.55,25,1,14,10,0,10,2026-05-28T23:55:11.803986+00:00,https://www.reinfolib.mlit.go.jp/
09206,160,1,26666,46,231,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.8188,139.5812&z=12",155978,110582,-29.1,22,2,11,4,1,3,2026-05-28T23:56:50.220469+00:00,https://www.reinfolib.mlit.go.jp/
09208,1200,34,184615,24.7,1054,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.308,139.8019&z=12",1579004,1263823,-19.96,442,17,257,51,3,48,2026-05-28T23:59:32.155106+00:00,https://www.reinfolib.mlit.go.jp/
09209,2000,1,181818,17,706,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.4249,139.9968&z=12",1332971,1092069,-18.07,201,6,124,23,5,18,2026-05-29T00:02:49.993679+00:00,https://www.reinfolib.mlit.go.jp/
09210,,0,,,540,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.8613,140.1192&z=12",387490,294346,-24.04,89,4,57,15,4,11,2026-05-29T00:04:56.089664+00:00,https://www.reinfolib.mlit.go.jp/
09211,,0,,,398,"https://disaportal.gsi.go.jp/hazardmap/maps/index.html?ll=36.8275,139.8981&z=12",451145,353047,-21.74,103,5,54,11,0,11,2026-05-29T00:06:49.593533+00:00,https://www.reinfolib.mlit.go.jp/
